license,establishment,aka,facility_type,risk,address,zip,inspected,inspection_type,result,pest_violation
3073458,HALAL MANDI HOUSE,HALAL MANDI HOUSE,Restaurant,Risk 1 (High),6240 N CALIFORNIA AVE,60659,2026-09-11,Complaint Re-Inspection,Fail,"59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: 8-404.13(B)(3)  PREVIOUS PRIORITY FOUNDATION VIOLATION FROM REPORT #2642287 ON 9/3/26 NOT CORRECTED:  38 - OBSERVED EVIDENCE OF RODENT ACTIVITY ON THE PREMISES. OBSERVED APPROX. 200 MOUSE DROPPINGS ON THE FLOOR OF THE UTILITY CLOSET IN THE CORNER BY THE HOT WATER TANK, BEHIND AND UNDER THE FRONT COUNTER, AND UNDER THE STORAGE RACKS AND PREP COOLERS IN THE DRY STORAGE AREA. MANAGEMENT INSTRUCTED TO CLEAN AND REMOVE ALL RODENT DROPPINGS FROM ALL AFFECTED AREAS. ALSO OBSERVED 2 LIVE COCKROACHES UNDER THE 2-DOOR PREP COOLER IN THE DR"
2569202,"SORA TEMAKERIA, LLC","SORA TEMAKERIA, LLC",Restaurant,Risk 1 (High),3508 W 26TH ST,60623,2026-09-10,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 40 MICE DROPPINGS SCATTERED ON FLOOR, SHELVES, AND BULK CONTAINERS IN BASEMENT STORAGE AREA. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-020(A) CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP HEADS STORED ON FLOOR IN PREP AREA. INSTRUCTED MANAGER TO PROPERLY HANG MOPS TO DRY TO PREVENT INSECT BREEDING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER IN PREP AND STO"
2501304,BENNY'S PIZZA,BENNY'S PIZZA,Restaurant,Risk 1 (High),1244 W 18TH ST,60608,2026-09-10,Complaint Re-Inspection,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 REAR EXIT DOOR IN NEED OF RODENT PROOFING INSTRUCTED TO SEAL THE BOTTOM OF THE DOOR. CORRECT AND MAINTAIN | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 WINDOW AT KITCHEN AREA IN NEED OF SCREEN OR WINDOW MUST BE CLOSED. INSTRUCTED TO CORRECT AND MAINTAIN"
1802063,BUFFALO WINGS AND RINGS,BUFFALO WINGS AND RINGS,Restaurant,Risk 1 (High),3434 S HALSTED ST,60608,2026-09-10,Complaint Re-Inspection,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.13: OBSERVED DIGITAL INSECT CONTROL DEVICES STORED ABOVE BEVERAGE AREAS IN THE REAR PREP AREA. INSTRUCTED TO RELOCATE FROM FOOD CONTACT SURFACES AND MAINTAIN."
1742786,MAGO'S TAMALES & TAQUERIA,MAGO'S TAMALES & TAQUERIA,Restaurant,Risk 1 (High),5714 W FULLERTON AVE,60639,2026-09-10,Complaint Re-Inspection,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED SOME DEAD ROACH ACTIVITY ON FLOORS IN MAIN PREP AREA. INSTRUCTED TO REMOVE, DETAIL CLEAN, SANITIZE AND MAINTAIN."
24052,LAZARO CARDENAS BRANCH,LAZARO CARDENAS BRANCH,School,Risk 1 (High),2406 S Central Park (3600W),60623,2026-09-10,Canvass,Pass w/ Conditions,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/2"" GAP AT BOTTOM LEFT CORNER OF EXIT DOOR #4 AND #5. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY."
2956979,RUMAN CHAI SHAI & RESTAURANT,RUMAN CHAI SHAI & RESTAURANT,Restaurant,Risk 1 (High),6348 N ARTESIAN AVE,60659,2026-09-09,Complaint,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: EVIDENCE OF ROACH ACTIVITY ON PREMISES. OBSERVED TWO LIVE SMALL ROACHES CRAWLING ON WALL BEHIND EXPOSED HAND WASHING AND 3-COMPARTMET SINK IN REAR PREP DISHWASHING AREA AND ONE ON WALL BEHIND FOOD STORAGE SHELVING LOCATED IN THE MAIN KITCHEN FOOD PREPARATION AREA. INSTRUCTED ABOVE TO CLEAN AND SANITIZE AFFECTED AREAS AND WHENEVER NEEDED. ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO ELIMINATE ROACH ACTIVITY. PRIORITY FOUNDATION VIOLATION 7-38-020(A). CITATION ISSUED."
2506880,JIEYI SUSHI,JIEYI SUSHI,Restaurant,Risk 1 (High),1178 N MILWAUKEE AVE,60642,2026-09-09,Canvass Re-Inspection,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED REAR EXIT DOOR LEADING TO OUTSIDE RECEPTACLE NOT RODENT PROOF WITH AT LEAST 1/4 INCH GAP BETWEEN GROUND AND DOOR. INSTRUCTED TO PROVIDE TO PREVENT PEST ENTRY."
31281,OROZCO ELEMENTARY ACADEMY,OROZCO ELEMENTARY ACADEMY,School,Risk 1 (High),1940 W 18th St (1800S),60608,2026-09-09,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED ANT ACTIVITY IN STORAGE AREA OBSERVED 5-6 ANTS ON TABLE WHERE FOOD WAS BEING STORED INSTRUCTED TO HAVE PEST CONTROL ADDRESS ISSUE. PRIORITY FOUNDATION 7-38-020(A) NO CITATION ISSUED"
24382,ROSWELL MASON CPC,ROSWELL MASON CPC,School,Risk 1 (High),4216 W 19TH ST,60623,2026-09-09,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OVER 60 MICE DROPPINGS SCATTERED ON FLOOR AND SHELVES IN STORAGE CLOSET IN PRE-K 141, INSIDE CUBBIES AND ON FLOOR ALONG CUBBIES IN PRE-K 143. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. PRIORITY FOUNDATION 7-38-030(A) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP AT BOTTOM OF SOUTH EXIT DOORS. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN PR"
