license,establishment,aka,facility_type,risk,address,zip,inspected,inspection_type,result,pest_violation
2321637,ERICK SOLORIO ACADEMY HIGH SCHOOL,ERICK SOLORIO ACADEMY HIGH SCHOOL,School,Risk 1 (High),5400 S ST LOUIS AVE,60632,2026-09-18,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 20 MOUSE DROPPINGS IN STORAGE ROOM(OLD DISHROOM). INSTRUCTED TO ELIMINATE RODENT ACTIVITY IN FACILITY, RECOMMENDED PEST CONTROL SERVICE FACILITY ON OR AFTER 9/18/2026 TO ELIMINATE RODENT ACTIVITY. INSTRUCTED TO CLEAN AFFECTED AREAS. PRIORITY FOUNDATION VIOLATION. 7-38-020(A) NO CITATION ISSUED"
2934768,BABA SHAWARMA INC.,HALAL SMASH BURGER & PHILLIES,Restaurant,Risk 1 (High),6404 N CALIFORNIA AVE,60645,2026-09-18,Complaint Re-Inspection,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: LIVE AND DEAD COCKROACHES IN GLUEBOARDS. MUST REMOVE AND REPLACE GLUEBOARDS. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: STILL NOTED THE FOLLOWING PEST ACTIVITY: -- 1 LIVE ROACH ON FLOOR IN THE PREP AREA AND 1 ONE ON TABLE UNDER SLICER. 1 LIVE ROACH ON EMPLOYEE WASHROOM DOORFRAME. --OVER 30 FLYING INSECTS ON IN THE PREP AREA AND WALLS AT THE DRY STORAGE AREA, HALLWAY, DINING ROOM AND IN NORTH SIDE WASHROOM. --OVER 25 MICE DROPPINGS ON FLOOR ALONG WALL BASE AND UNDERNEATH EQUIPMENT, ESPECIALLY AT THE DRY STORAGE AREA. --STILL"
3100285,87TH QUICK STOP,87TH QUICK STOP,Grocery Store,Risk 2 (Medium),1833-1835 W 87TH ST,60620,2026-09-18,License,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE REAR AND FRONT DOORS WITH 1/4"" GAPS AT THE BOTTOM. MUST REPAIR AND MAINTAIN TO PREVENT POSSIBLE ENTRY POINTS FOR PESTS."
3759848,ACERO VICTORIA SOTO HIGH SCHOOL,ACERO VICTORIA SOTO HIGH SCHOOL,School,Risk 1 (High),5025 S ST LOUIS AVE,60632,2026-09-17,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING AT BASE OF LEFT EXIT DOOR #7,OBSERVED OPENING AT BASE OF SINGLE EXIT RECEIVING DOOR OUTSIDE OF PREP AREA AND OBSERVED OPENING AT RIGHT OF BASE OF RECEIVING DOCK DOOR. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE."
2918574,DOCKS,DOCKS,Restaurant,Risk 2 (Medium),112 W 87TH ST,60620,2026-09-17,Complaint,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 25 SMALL FLIES SCATTERED THROUGH OUT THE REAR DISH WASHING AREA ON THE WALL, BOXES, RACKS AND SHELVING. MUST REMOVE AND CLEAN AFFECTED AREAS. ALSO CALL PEST CONTROL FOR SERVICE. PRIORITY FOUNDATION CITATION ISSUED #7-38-020(A)"
3534636,NOBLE ST CHTR-CRIMSON(CORLISS HS),BUTLER COLLEGE PREP,School,Risk 1 (High),821 E 103rd St (10300S),60628,2026-09-17,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND A 1/4"" GAP UNDERNEATH DOOR #9, MAKING IT NOT RODENT/INSECT PROOFED. INSTRUCTED TO RODENT/INSECT PROOF DOOR AND MAINTAIN."
46391,Corliss (H/S),Corliss (H/S),School,Risk 1 (High),821 E 103rd St (10300S),60628,2026-09-17,Canvass,Pass w/ Conditions,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND A 1/4"" GAP UNDERNEATH DOOR #9, MAKING IT NOT RODENT/INSECT PROOFED. INSTRUCTED TO RODENT/INSECT PROOF DOOR AND MAINTAIN."
3759896,ACERO JOVITA IDAR CHARTER SCHOOL,ACERO JOVITA IDAR CHARTER SCHOOL,School,Risk 1 (High),5050 S HOMAN AVE,60632,2026-09-17,Canvass,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING AT BASE OF EXIT DOOR #12. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE."
2437497,MANCHAMANTELES,MANCHAMANTELES RESTAURANT,Restaurant,Risk 1 (High),2003-2011 N WESTERN AVE,60647,2026-09-16,Complaint,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED EVIDENCE OF RODENT ACTIVITY ON THE PREMISES. OBSERVED APPROXIMATELY 40 MOUSE DROPPINGS IN THE FOLLOWING AREAS: ON FLOOR NEXT TO BAR SEATING, ON FLOOR BEHIND ICE MACHINE, BEHIND STORAGE RACK, UNDER HANDWASHING SINK NEAR DISHWASHER, IN CORNERS THROUGHOUT UNUSED BAR AREA AND ON FLOOR OF REAR STORAGE AREA. MANAGEMENT INSTRUCTED TO CLEAN AND REMOVE ALL RODENT DROPPINGS FROM ALL AFFECTED AREAS. ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO ELIMINATE THE PEST ACTIVITY. PRIORITY FOUNDATION #7-38-020(A). CITATION ISSUED. | 55. PHYSICAL FAC"
3065587,BAHIA BURGER'S 63 INC,BAHIA BURGER'S 63 INC,Restaurant,Risk 1 (High),2942 W 63RD ST,60629,2026-09-16,Complaint,Fail,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED DEAD BUGS ON FLOOR OF DRY STORAGE ROOM. INSTRUCTED PERSON IN CHARGE TO REMOVE ALL DEAD INSECTS, CLEAN AND SANITIZE AREAS AND MAINTAIN."
