entity_id,name,formed,entity_type,status,jurisdiction,street,street_2,city,state,zip,agent_organization,agent_city
20268161031,Forsyth Asset Management Limited,2026-09-20,DPC,Good Standing,CO,1500 N GRANT ST STE R,,DENVER,CO,80203,Registered Agents Inc,Denver
20268161037,KNAUER GLOBAL TRADING INC,2026-09-20,DPC,Good Standing,CO,"2000 Colorado Blvd, Tower 1, Suite 2000",,Denver,CO,80222,Trusted Agency Inc.,Denver
20268161039,Aestus Forge Inc,2026-09-20,DPC,Good Standing,CO,2021 Clubhouse Dr Ste 100,,Greeley,CO,80634,Registered Agents Inc,Denver
20268161040,"AMERICAN GAGU PRECISION INDUSTRIES CO., LTD.",2026-09-20,DPC,Good Standing,CO,4849 Raintree Cir,,Parker,CO,80134,Trusted Agency Inc.,Denver
20268161042,Novur Craft Inc,2026-09-20,DPC,Good Standing,CO,2474 Patterson Rd #100,,Grand Junction,CO,81505,Registered Agents Inc,Denver
20268161044,Nodus Anchor Inc,2026-09-20,DPC,Good Standing,CO,900 Airport Rd #2,,Rifle,CO,81650,Registered Agents Inc,Denver
20268161045,Luminaq Flow Inc,2026-09-20,DPC,Good Standing,CO,4703 Boardwalk Dr # B3,,Fort Collins,CO,80525,Registered Agents Inc,Denver
20268161048,Auraq Labs Inc,2026-09-20,DPC,Good Standing,CO,401 W Mulberry St Ste 200,,Fort Collins,CO,80521,Registered Agents Inc,Denver
20268161049,Zenixa Shift Inc,2026-09-20,DPC,Good Standing,CO,5628 19th St #4,,Greeley,CO,80634,Registered Agents Inc,Denver
20268161050,Kynetic Vector Inc,2026-09-20,DPC,Good Standing,CO,120 Park Dr Ste 200,,Grand Junction,CO,81505,Registered Agents Inc,Denver
20268161052,Aethel Matrix Inc,2026-09-20,DPC,Good Standing,CO,550 S Wadsworth Blvd Ste 520,,Lakewood,CO,80226,Registered Agents Inc,Denver
20268161055,Vesper Apex Inc,2026-09-20,DPC,Good Standing,CO,2261 E Drake Rd #135,,Fort Collins,CO,80525,Registered Agents Inc,Denver
20268161059,Clydesdales Creative LLC,2026-09-20,DLLC,Good Standing,CO,3465 S Gaylord Ct Apt B430,,Englewood,CO,80113,,Englewood
20268161063,Fournier Delivery Services LLC,2026-09-20,DLLC,Good Standing,CO,6425 E 70th Pl,,Commerce City,CO,80022,,Commerce City
