reference,applied,address,permit_type,subtype,status,bedroom_limit,guest_limit,city_record
6N1Z5J,2026-09-20,1034 Tricou St,Non-Commercial Short Term Rental,N/A,Pending,2,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=6N1Z5J
B2LPLJ,2026-09-20,818 Elysian Fields Ave B,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=B2LPLJ
GYXT4S,2026-09-20,818 Elysian Fields Ave A,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=GYXT4S
J1YPSZ,2026-09-20,1026 Clouet St,Non-Commercial Short Term Rental,N/A,Pending,2,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=J1YPSZ
TH4TFR,2026-09-20,2483 Verbena St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=TH4TFR
UYME4A,2026-09-20,213 Elmira Ave,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=UYME4A
U2WT17,2026-09-20,5128 Freret St,Short Term Rental Commercial Owner,N/A,Pending,4,8,https://onestopapp.nola.gov/Redirect.aspx?SearchString=U2WT17
DH55V1,2026-09-19,2807 Calhoun St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=DH55V1
1BTSC2,2026-09-19,2202 Royal St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1BTSC2
EL4Y2L,2026-09-19,137 30Th St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=EL4Y2L
DWNYSW,2026-09-19,2512 Constance St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=DWNYSW
P8YGJW,2026-09-19,217 Elmira Ave,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=P8YGJW
5T7LM1,2026-09-19,305 Alix St,Non-Commercial Short Term Rental,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5T7LM1
FVG1G8,2026-09-19,7330 Lake Barrington Dr,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=FVG1G8
V4DP3B,2026-09-19,5373 Canal Blvd,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=V4DP3B
TPG2S1,2026-09-19,5210 Lafaye St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=TPG2S1
6561UC,2026-09-19,1229 Carondelet St,Non-Commercial Short Term Rental,N/A,Pending,4,8,https://onestopapp.nola.gov/Redirect.aspx?SearchString=6561UC
U411BP,2026-09-18,26300 Chef Menteur Hwy,Short Term Rental Commercial Owner,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=U411BP
Z5ARXF,2026-09-18,6328 Dover Pl,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=Z5ARXF
7P86Z1,2026-09-18,1028 Kerlerec St Apt 2,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=7P86Z1
5LC5MU,2026-09-18,5208 Burgundy St,Non-Commercial Short Term Rental,N/A,Pending,3,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5LC5MU
GYEBKZ,2026-09-18,604 Jena St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=GYEBKZ
611PL1,2026-09-18,7830 Dominican St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=611PL1
RFHCH7,2026-09-18,412 S Telemachus St,Non-Commercial Short Term Rental,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=RFHCH7
4GFWMW,2026-09-18,1900 Evergreen Ave,Non-Commercial Short Term Rental,N/A,Pending,6,6,https://onestopapp.nola.gov/Redirect.aspx?SearchString=4GFWMW
