permit,job_filing,filing_reason,issued,approved,expires,work_type,job_description,estimated_cost,house,street,borough,zip,contractor_license_type,contractor_business,contractor_address,owner_business,owner_city,owner_state,status
B00666185-Z2-PL,B00666185-Z2,Initial Permit,2026-09-11,2026-09-09,2027-05-01,Plumbing,Propose plumbing site work for sewer connection as per plan filed in conjunction with NB # B00666185.,0,143,BAYARD STREET,Brooklyn,11222,P,QMB PLUMBING & HEATING IN,32-37 62ND STREET,143 BAYARD DEVELOPMENTS LLC,,,Permit Issued
B00969850-Z5-SF,B00969850-Z5,Initial Permit,2026-09-11,2026-09-11,2026-12-23,Supported Scaffold,INSTALLATION OF PIPE SCAFFOLDING AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH CHAPTER # 33 OF THE 2022 CODE. NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION.,0,1505,EMMONS AVENUE,Brooklyn,11235,GC,HARTZION ENTERPRISES CORP,873 45TH STREET APT 204,PR,,,Permit Issued
B00969850-Z6-PMM,B00969850-Z6,Initial Permit,2026-09-11,2026-09-11,2026-12-23,Protection and Mechanical Methods,INSTALLATION OF ENGINEERED ENCLOSURE SYSTEM AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH CHAPTER # 33 OF THE 2022 CODE. NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION.,0,1505,EMMONS AVENUE,Brooklyn,11235,GC,HARTZION ENTERPRISES CORP,873 45TH STREET APT 204,PR,,,Permit Issued
B01096496-S9-SF,B01096496-S9,Initial Permit,2026-09-11,2026-09-11,2026-12-23,Supported Scaffold,"INSTALLATION OF PIPE SCAFFOLDING, NEEDLE BEAMS, AND SYSTEM BEAMS AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH CHAPTER # 33 OF THE 2022 CODE. NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION.",0,1517,EMMONS AVENUE,Brooklyn,11235,GC,HARTZION ENTERPRISES CORP,873 45TH STREET APT 204,Not Applicable,,,Permit Issued
B01096496-Z1-PMM,B01096496-Z1,Initial Permit,2026-09-11,2026-09-11,2026-12-23,Protection and Mechanical Methods,INSTALLATION OF ENGINEERED ENCLOSURE SYSTEM AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH CHAPTER # 33 OF THE 2022 CODE. NO CHANGE IN USE OCCUPANCY OR EGRESS UNDER THIS APPLICATION.,0,1517,EMMONS AVENUE,Brooklyn,11235,GC,HARTZION ENTERPRISES CORP,873 45TH STREET APT 204,Not Applicable,,,Permit Issued
B01111764-I1-GC,B01111764-I1,Initial Permit,2026-09-11,2025-03-14,2026-12-31,General Construction,"REMOVAL AND REPLACEMENT OF FACE BRICK MASONRY, AS INDICATED ON DRAWINGS.2. REMOVAL AND REPLACEMENT OF SELECTIVE DECORATIVE TERRA COTTA AND LIMESTONEMASONRY, AS INDICATED ON DRAWINGS.3. PARTIAL ROOFING REMOVAL AND REPLACEMENT AT ROOF NO. 1 (",20000000,4211,14 AVENUE,Brooklyn,11219,GC,MALENI GROUP INC,1863 CHESTER DR,NYC SCHOOL CONSTRUCTION AUTHORITY,,,Permit Issued
B01183620-S2-MS,B01183620-S2,Initial Permit,2026-09-11,2026-09-10,2027-02-24,Mechanical Systems,INSTALLATION OF MECHANICAL SYSTEM IN CONJUNCTION WITH B01183620-I1,1000,361,UNION STREET,Brooklyn,11231,GC,ACCRETE CONSTRUCTION GROU,3702 ASTORIA BLVD SUITE 403,Not Applicable,,,Permit Issued
B01186158-I1-FD,B01186158-I1,Initial Permit,2026-09-11,2026-05-21,2027-03-09,Full Demolition,Demo of Three story structure,50000,1607,MERMAID AVENUE,Brooklyn,11224,GC,SANDHU BUILDERS 1 INC,137-30 REDDING STREET,Not Applicable,,,Permit Issued
B01189780-S2-FO,B01189780-S2,Initial Permit,2026-09-11,2025-09-25,2027-03-26,Foundation,SUBSEQUENT FILING FOR FOUNDATION & EARTHWORK IN-CONJUNCTION TO NB FILING B01189780-I1,0,926,MOTHER GASTON BOULEVARD,Brooklyn,11212,GC,RNH SERVICES INC,670 MYRTLE AVE STE 6366,WESTORCHARD MANAGEMENT,,,Permit Issued
B01194222-S5-EW-SP,B01194222-S5,Initial Permit,2026-09-11,2026-03-30,2027-02-24,Sprinklers,SPRINKLER APPLICATION FILED HEREWITH IN CONJUNCTION TO ALT-CO APPLICATION B01194222-I1,113729,1853,63 STREET,Brooklyn,11204,F,BRUCHE MECHANICAL NY LLC,81-15 MYRTLE AVENUE,YL INTERIOR LLC,,,Permit Issued
