application_id,submitted,status,license_type,trade_name,owner,address,city,zip,county,phone
624581,2026-09-20,Received,BQ,Kesbi #8,Big PK ZSEL LLC,10026 Montana Ave,El Paso,79925,El Paso,
645049,2026-09-20,Received,NT,,Saint Helen Catholic Church,2700 E University Ave,Georgetown,78626,Williamson,
658196,2026-09-20,Received,FB,Edna Seafood And Grill,Chey Investment LLC,1022 S Wells St,Edna,77957,Jackson,
658197,2026-09-20,Received,FB,Country Sunshine,HOLLE HAUS LLC,197 Henkel Circle,Round Top,78954,Fayette,
658224,2026-09-20,Received,Q,Kesbi #3,Big PK ZSAB LLC,4673 FM 18,Abilene,79602,Taylor,
658225,2026-09-20,Received,Q,Kesbi #4,Big PK ZSAB LLC,1050 S Treadaway Blvd,Abilene,79602,Taylor,
658226,2026-09-20,Received,Q,Kesbi #5,Big PK ZSAB LLC,1458 S Treadaway Blvd,Abilene,79602,Taylor,
658232,2026-09-20,Received,FB,The Wings Stadium Nolana,The Wings Stadium Nolana LLC,400 W Nolana Ave,Mcallen,78504,Hidalgo,
658244,2026-09-20,Received,NT,,Pittsburg Rodeo Association,938 N Greer Blvd,Pittsburg,75686,Camp,
658246,2026-09-20,Received,NT,,Knights of Columbus Council 9765,150 W Main St,Fredericksburg,78624,Gillespie,
608239,2026-09-19,Received,BG,Rock and Roll Pizzeria,"MSTJ CAPO'S, LLC",16350 Blanco Rd,San Antonio,78232,Bexar,
637521,2026-09-19,Received,Q,RACEWAY FOOD AMRT,548 VENTURES LLC,13960 FM 548 Suite # 100,Forney,75126,Kaufman,
641058,2026-09-19,Received,N,Bethany Tavern Social Club,Bethany Tavern Social Club,604 W Bethany Dr,Allen,75013,Collin,
643611,2026-09-19,Received,FB,Rock and Roll Pizzeria,"MSTJ CAPO'S, LLC",16350 Blanco Rd,San Antonio,78232,Bexar,
649589,2026-09-19,Received,NT,,Priestly Fraternity of St Peter dba Regina Caeli P,8121 Breen Dr,Houston,77064,Harris,
653911,2026-09-19,Received,LH,Bethany Tavern Social Club,Bethany Tavern Social Club,604 W Bethany Dr,Allen,75013,Collin,
655188,2026-09-19,Received,FB,Bethany Tavern Social Club,Bethany Tavern Social Club,604 W Bethany Dr,Allen,75013,Collin,
658077,2026-09-19,Received,NT,,Ponte En Sus Zapatos,4525 Schlipf Rd,Katy,77493,Waller,
658170,2026-09-19,Received,MB,JND Interests INC DBA Traviesa Sports Bar,"JND INTERESTS, INC.",13711 Westheimer Rd #Z,Houston,77077,Harris,
658174,2026-09-19,Received,LH,JND Interests INC DBA Traviesa Sports Bar,"JND INTERESTS, INC.",13711 Westheimer Rd #Z,Houston,77077,Harris,
635203,2026-09-18,Received,BE,PV TRAINING CENTER LLC,PV TRAINING CENTER LLC,12775 NE Loop 143,Perryton,79070,Ochiltree,
637891,2026-09-18,Received,BN,Global Beer Network,WIN-IT-TOO LLC,30 Log Bridge Rd,Middleton,01949,,
639607,2026-09-18,Received,FB,Hao Hao Arbor Trails,FRESH TOFU LLC,4301 W William Cannon Dr,Austin,78749,Travis,
640346,2026-09-18,Received,MB,Uncle Julio's #029,"Next Restaurants, LLC",9201 North Fwy,Fort Worth,76177,Tarrant,
640361,2026-09-18,Received,FB,Uncle Julio's #029,"Next Restaurants, LLC",9201 North Fwy,Fort Worth,76177,Tarrant,
