reference,applied,address,permit_type,subtype,status,bedroom_limit,guest_limit,city_record
T8H13W,2026-09-11,1409 Carondelet St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=T8H13W
N2D6LP,2026-09-11,1203 Saint Roch Ave,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=N2D6LP
EUYNH5,2026-09-11,722 Girod St Apt 201,Short Term Rental Commercial Owner,N/A,Pending,,,https://onestopapp.nola.gov/Redirect.aspx?SearchString=EUYNH5
TP2CHF,2026-09-11,1414 Erato St,Short Term Rental Commercial Owner,N/A,Issued,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=TP2CHF
1F7M3M,2026-09-11,1416 Erato St,Short Term Rental Commercial Owner,N/A,Issued,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1F7M3M
1KVP6J,2026-09-11,1410 Erato St,Short Term Rental Commercial Owner,N/A,Issued,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1KVP6J
YEWBG7,2026-09-11,734 Union St Unit 401,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=YEWBG7
JQM5DK,2026-09-11,339 Carondelet St Apt 3D,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=JQM5DK
PSLLXF,2026-09-10,1628 Thalia St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=PSLLXF
GUSCXS,2026-09-10,3029 Lafitte Ave,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=GUSCXS
ACKXMW,2026-09-10,3027 Lafitte Ave,Short Term Rental Commercial Owner,N/A,Pending,2,4,https://onestopapp.nola.gov/Redirect.aspx?SearchString=ACKXMW
1A16YZ,2026-09-10,1416 Carondelet St Unit A,Short Term Rental Commercial Owner,N/A,Pending,1,2,https://onestopapp.nola.gov/Redirect.aspx?SearchString=1A16YZ
3757Y5,2026-09-10,1722 Clio St,Short Term Rental Commercial Owner,N/A,Issued,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=3757Y5
SZSVZ5,2026-09-10,3221 Canal St,Short Term Rental Commercial Owner,N/A,Withdrawn,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=SZSVZ5
LB4B6C,2026-09-10,4505 Dryades St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=LB4B6C
YHXNXN,2026-09-10,1421 Carondelet St,Short Term Rental Commercial Owner,N/A,Issued,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=YHXNXN
KV2Z7B,2026-09-10,5033 Freret St Apt 2A,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=KV2Z7B
H14ZJL,2026-09-10,1413 Carondelet St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=H14ZJL
CC3HZR,2026-09-10,1222 Magazine St,Short Term Rental Commercial Owner,N/A,Pending,5,10,https://onestopapp.nola.gov/Redirect.aspx?SearchString=CC3HZR
UPSUN4,2026-09-09,722 Girod St Apt 504,Short Term Rental Commercial Owner,N/A,Pending,,,https://onestopapp.nola.gov/Redirect.aspx?SearchString=UPSUN4
5H1VSX,2026-09-09,722 Girod St Apt 503,Short Term Rental Commercial Owner,N/A,Pending,,,https://onestopapp.nola.gov/Redirect.aspx?SearchString=5H1VSX
