application_id,received,status,license_class,legal_name,trade_name,premises_address,city,zip,county
NA-0370-26-327975,2026-09-18,IntakeComplete,Food & Beverage Business,"Kenan Center, Inc.",Kenan Center,433 Locust St,Lockport,14094,Niagara
NA-0340-26-227966,2026-09-18,IntakeComplete,Restaurant,Himalayan Food House LLC,Himalayan Food House,609 Route 6,Mahopac,10541,Putnam
NA-0081-26-127959,2026-09-18,IntakeComplete,Grocery Store,J&D Market Corp,,1293 Castleton Ave,Staten Island,10310,Richmond
NA-0071-26-227961,2026-09-18,IntakeComplete,Grocery Store,Alba Quality Foods LLC,Geraci's Market,16 Mill St,Newburgh,12550,Orange
NA-0071-26-327954,2026-09-18,IntakeComplete,Grocery Store,Nona's Backyard Bites LLC,,9005 E Otto Springville Rd,East Otto,14729,Cattaraugus
NA-0340-26-127945,2026-09-18,IntakeComplete,Restaurant,RVC Food Group LLC,,13 N Park Ave,Rockville Centre,11570,Nassau
NA-0340-26-127929,2026-09-18,IntakeComplete,Restaurant,Ardore 28 Corp.,Acqua 28 Farina,370 Halstead Ave,Harrison,10528,Westchester
NA-0340-26-127934,2026-09-18,IntakeComplete,Restaurant,Hoshi Steak House Inc,,"35 W Main Street Suite # 35, 37, 41",Patchogue,11772,Suffolk
NA-0370-26-327925,2026-09-18,IntakeComplete,Food & Beverage Business,"Corie's Catering, Inc.",,1840 Military Rd,Kenmore,14217,Erie
NA-0100-26-127916,2026-09-18,IntakeComplete,Liquor Store,Elvis Wine and Liquor LLC,Levino Wine Merchants,171 Mamaroneck Ave,White Plains,10601,Westchester
NA-0100-26-127922,2026-09-18,IntakeComplete,Liquor Store,BUSH & JEFF LIQUOR CORPORATION,Wines & Liquor,1197 Bushwick Ave,Brooklyn,11221,Kings
NA-0340-26-327918,2026-09-18,IntakeComplete,Restaurant,Dakshin by Anbu Group Inc.,,739 Clinton Ave S Unit 1606,Rochester,14620,Monroe
NA-0071-26-127914,2026-09-18,IntakeComplete,Grocery Store,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #31422,335 Route 25A,Miller Place,11764,Suffolk
NA-0370-26-127903,2026-09-18,IntakeComplete,Food & Beverage Business,Brooklyn Starling LLC,,1702 Stanhope St,Ridgewood,11385,Queens
NA-0358-26-227899,2026-09-18,IntakeComplete,Railroad car,"Adirondack Railway Preservation Society, Inc.",,321 Main St,Utica,13501,Oneida
NA-0340-26-127893,2026-09-18,IntakeComplete,Restaurant,B&H Hospitality Corp.,,40-17 Broadway,Long Island City,11103,Queens
NA-0009-26-127895,2026-09-18,IntakeComplete,Wholesale Liquor,GRAND PRIX BEVERAGE LLC,,19-08 42nd St,Astoria,11105,Queens
NA-0081-26-127891,2026-09-18,IntakeComplete,Grocery Store,Ocean Park Gourmet Deli Corp.,,1721 Seagirt Blvd,Far Rockaway,11691,Queens
NA-0358-26-227890,2026-09-18,IntakeComplete,Railroad car,"Adirondack Railway Preservation Society, Inc",,321 Main St,Utica,13501,Oneida
NA-0071-26-127882,2026-09-18,IntakeComplete,Grocery Store,Royalty Plus Deli & Grocery Corp.,,918 Freeman St,Bronx,10459,Bronx
NA-0340-26-127871,2026-09-18,IntakeComplete,Restaurant,Teos Group LLC,,446 Dean St Ste A,Brooklyn,11217,Kings
NA-0100-26-127876,2026-09-18,IntakeComplete,Liquor Store,OAK CAPITAL HOLDING LLC,Pidgeon Hill Wine & Spirits,552 E Jericho Tpke,Huntington Station,11746,Suffolk
NA-0009-26-127866,2026-09-18,IntakeComplete,Wholesale Liquor,"NEW YORK DISTILLING COMPANY, LLC",New York Distilling,573 Johnson Ave,Brooklyn,11237,Kings
NA-0340-26-127859,2026-09-18,IntakeComplete,Restaurant,Bameegao LLC,,452 Amsterdam Ave,New York,10024,New York
NA-0370-26-127848,2026-09-18,IntakeComplete,Food & Beverage Business,59 West 21 Street LLC,,59 W 21st St,New York,10010,New York
NA-0081-26-127850,2026-09-18,IntakeComplete,Grocery Store,Taste of Delicatessen I Corporation,,560 3rd Ave Unit S-6,New York,10016,New York
NA-0052-26-227853,2026-09-18,Conditionally Approved,Distiller Class A-1 (Micro-distiller),All Points West Distillery LLC,,9 E O'Reilly St,Kingston,12401,Ulster
NA-0071-26-127845,2026-09-18,IntakeComplete,Grocery Store,Gerritsen Deli and Grill Inc,,2492 Gerritsen Ave,Brooklyn,11229,Kings
NA-0081-26-127840,2026-09-18,IntakeComplete,Grocery Store,South Bedford Snack Shop Inc.,,848 S Bedford Rd,Bedford,10506,Westchester
NA-0081-26-127837,2026-09-18,IntakeComplete,Grocery Store,VIP Market Inc,,40-21A 35th Ave,Astoria,11101,Queens
NA-0081-26-127832,2026-09-18,IntakeComplete,Grocery Store,Ralad Enterprise Inc,,555 N Broadway,White Plains,10603,Westchester
NA-0081-26-127825,2026-09-18,IntakeComplete,Grocery Store,AKC Deli Grocery Corp.,,555 E 180th St,Bronx,10457,Bronx
NA-0071-26-127811,2026-09-17,IntakeComplete,Grocery Store,114 Farmers Deli Inc,,114-43 Farmers Blvd,Saint Albans,11412,Queens
NA-0343-26-127788,2026-09-17,IntakeComplete,Hotel,"15 West 56th St Inc. and Hersha Hospitality Management LP, as manager",,15 W 56th St,New York,10019,New York
NA-0340-26-227792,2026-09-17,IntakeComplete,Restaurant,Panda FW Inc,,1571 Route 9 Ste 4,Wappingers Falls,12590,Dutchess
NA-0340-26-127781,2026-09-17,IntakeComplete,Restaurant,Nikko Grand LLC,,194 Grand St,New York,10013,New York
NA-0370-26-127774,2026-09-17,IntakeComplete,Food & Beverage Business,CookUnity 1227 Broadway Inc.,,1205 Broadway,New York,10001,New York
NA-0340-26-127746,2026-09-17,IntakeComplete,Restaurant,Lola's Latin Bistro Inc.,,293 Port Richmond Ave,Staten Island,10302,Richmond
NA-0340-26-127752,2026-09-17,IntakeComplete,Restaurant,UNWIND HOSPITALITY LLC,Orchard Beach Pavilion,1 Orchard Beach Rd,Bronx,10464,Bronx
NA-0081-26-127749,2026-09-17,IntakeComplete,Grocery Store,Omega Energy Inc,,1302 65th St,Brooklyn,11219,Kings
NA-0340-26-127743,2026-09-17,IntakeComplete,Restaurant,THE HONJO GROUP INC.,The Honjo Sushi & KTV Lounge,6117 20th Ave,Brooklyn,11204,Kings
NA-0081-26-227732,2026-09-17,IntakeComplete,Grocery Store,Roscoe Mini Food Mart Inc.,,17 Cottage St,Roscoe,12776,Sullivan
NA-0032-26-327736,2026-09-17,IntakeComplete,Farm winery,LIGHTHOUSE CIDER COMPANY LLC,,5920 Brick Schoolhouse Rd,North Rose,14516,Wayne
NA-0340-26-327723,2026-09-17,IntakeComplete,Restaurant,"United Buffet 941, Inc.",,941 Hard Rd,Webster,14580,Monroe
NA-0081-26-127725,2026-09-17,IntakeComplete,Grocery Store,1073 Deli Inc,,1073 White Plains Rd,Bronx,10472,Bronx
NA-0370-26-227713,2026-09-17,IntakeComplete,Food & Beverage Business,Original Candlelite LLC,,4353 Route 32,Catskill,12414,Greene
NA-0340-26-227709,2026-09-17,IntakeComplete,Restaurant,"Elev8 Entertainment, LLC",,"77-81 Congress St, unit 79",Troy,12180,Rensselaer
NA-0370-26-127711,2026-09-17,IntakeComplete,Food & Beverage Business,Sweet & Salty Ride LLC,Sweet & Salty Ride Bakery,2071 Merrick Rd,Merrick,11566,Nassau
