camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,action
50177666,ENSO,Coffee/Tea,192,AMITY STREET,Brooklyn,11201,9172421593,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50180148,EL MEXICANO RESTAURNT & CAFE,Mexican,310,DITMAS AVENUE,Brooklyn,11218,7184840111,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50180748,Cooklyn,American,153-01,JAMAICA AVE,Queens,11432,6319747516,2026-09-16,Pre-permit (Operational) / Reopening Inspection,Establishment re-opened by DOHMH.
50180798,MATTO ESPRESSO,Coffee/Tea,530,COLUMBUS AVENUE,Manhattan,10024,6469233383,2026-09-16,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50180876,DONER HAUS,German,45-21,GREENPOINT AVENUE,Queens,11104,7182551425,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50182825,CROISSANT ET CAFE,Bakery Products/Desserts,154,WEST 70 STREET,Manhattan,10023,5167211722,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50182929,EL SABOR DEL RANCHO TAQUERIA,Mexican,44-20,GREENPOINT AVENUE,Queens,11104,3475071804,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50183377,NORTH DUMPLING,Chilean,23,ESSEX STREET,Manhattan,10002,7189157783,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50183579,PURE GREEN,"Juice, Smoothies, Fruit Salads",2041,BROADWAY,Manhattan,10023,6464541650,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50184514,KOME NORI,Japanese,397,5 AVENUE,Brooklyn,11215,3472940543,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50186460,Bread & Melt / Stacked Sandwich Shop,Sandwiches,68-60,AUSTIN STREET,Queens,11375,3478062299,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50188241,EL PILON BAKERY,Latin American,46-19,QUEENS BOULEVARD,Queens,11104,3478080336,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50188448,EMPANADA LOCA,Latin American,9,DEKALB AVENUE,Brooklyn,11201,9292178365,2026-09-16,Pre-permit (Operational) / Initial Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
50190508,S & P Cafe and Grill,American,2252,5 AVENUE,Manhattan,10037,9144132048,2026-09-16,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50164184,PIZZA EXPRESS,Pizza,3240,3 AVENUE,Bronx,10451,3479853301,2026-09-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50167695,UNION BISTRO STEAKHOUSE AND SUSHI,Jewish/Kosher,190-11,UNION TURNPIKE,Queens,11366,9173960574,2026-09-15,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50168179,DOOKKI,Korean,11,WEST 32 STREET,Manhattan,10001,6465771074,2026-09-15,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50168213,MACHI MACHI / MOCHI MOCHI /JONGRO RICE HOTDOG,Korean,33,WEST 32 STREET,Manhattan,10001,8574044153,2026-09-15,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50169116,PASTA EATER N GO,Italian,744,9 AVENUE,Manhattan,10019,9176978610,2026-09-15,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50171527,SUMMIT EVENTS ON 72,Other,1,VANDERBILT AVENUE,Manhattan,10017,6038600704,2026-09-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50172574,Halal Crunchies,American,262,CYPRESS AVENUE,Bronx,10454,3473689994,2026-09-15,Pre-permit (Operational) / Re-inspection,Violations were cited in the following area(s).
50175214,LE PETIT CHEF / UP ON 20 / THE DEN - LIBRARY BAR,American,30,WEST 31 STREET,Manhattan,10001,2123301234,2026-09-15,Pre-permit (Operational) / Initial Inspection,Violations were cited in the following area(s).
50182236,SABORES,Spanish,274,KNICKERBOCKER AVENUE,Brooklyn,11237,9174388263,2026-09-15,Pre-permit (Operational) / Reopening Inspection,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.
