camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
50137045,D'ANNA'S PIZZA & DELI,Latin American,169-08,CROCHERON AVENUE,Queens,11358,7188780042,2026-09-10,Cycle Inspection / Compliance Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,27,
50177793,FORNO D'ORO,Italian,196,8 AVENUE,Manhattan,10011,2122424551,2026-09-10,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,36,N
40366574,BLARNEY STONE,Irish,11,TRINITY PLACE,Manhattan,10006,6466698197,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,12,A
40388321,COWGIRL,Tex-Mex,519,HUDSON STREET,Manhattan,10014,2126331133,2026-09-09,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,19,
40573507,NICOLA'S,Italian,146,EAST 84 STREET,Manhattan,10028,2122499850,2026-09-09,Cycle Inspection / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,13,A
40592285,LUCKY STRIKE,American,,CHELSEA PIERS,Manhattan,10011,2128352695,2026-09-09,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,22,Z
40790187,FERRIS BOOTH COMMONS - ALFRED LERNER HALL,American,2920,BROADWAY,Manhattan,10027,2128544609,2026-09-09,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,33,
41167352,THE COOKIE HOUSE,Bagels/Pretzels,5328,KINGS PLAZA CENTER,Brooklyn,11234,7182526483,2026-09-09,Cycle Inspection / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,25,Z
41532950,CARVEL,Frozen Desserts,4704,AVENUE N,Brooklyn,11234,7183389355,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,Z
41534382,THE SUNY MARITIME U. VANDERCLUTE - (MESSDECK IN LOT 6),American,6,PENNYFIELD AVE,Bronx,10465,7184095092,2026-09-09,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,50,Z
