license_id,issued,license_type,tier,status,trade_name,owner,address,city,zip,county,phone
200195466,2026-09-18,BG,Retail,Active,With Good Spirits LLC,With Good Spirits LLC,2302 Parrott Ave,Rosenberg,77471,Fort Bend,
200200469,2026-09-18,BQ,Retail,Active,El Gato Drive Thru and BBQ LLC,El Gato Drive Thru and BBQ LLC,1104 N Garcia St STE A,Roma,78584,Starr,
200200621,2026-09-18,BE,Retail,Active,MOD Pizza,New Vibes Holdings LLC,5103 Bellaire Blvd,Bellaire,77401,Harris,
200201694,2026-09-18,MB,Retail,Active,The Vault,Allen Legacy Entertainment Too LLC,4001 SW 51st Ave,Amarillo,79109,Randall,
200201757,2026-09-18,BE,Retail,Active,MOD Pizza,New Vibes Holdings LLC,3478 Discovery Creek Blvd,Spring,77386,Montgomery,
200202167,2026-09-18,BQ,Retail,Active,QuikTrip #4645,OKLAHOMA QUIKTRIP BEVERAGE CORPORATION,17907 FM 2920 Rd,Tomball,77377,Harris,
200202222,2026-09-18,BQ,Retail,Active,RED DIRT MARKET,SHERPA MARKET 6 INC,210 HUMBLE RD W,Overton,75684,Rusk,
200202501,2026-09-18,BE,Retail,Active,MOD Pizza,New Vibes Holdings LLC,2210 FM 663,Midlothian,76065,Ellis,
200203032,2026-09-18,MB,Retail,Active,LDJ Liquor Catering,LDJ Liquor Catering LLC,509 Jahns Rd,Seguin,78155,Guadalupe,
200203146,2026-09-18,MB,Retail,Active,CLARK'S OUTPOST,"Deucy Bones, Inc",103 S Ray Roberts Pkwy,Tioga,76271,Grayson,
200203972,2026-09-18,BG,Retail,Active,THE MIX cafe & kitchen,AURA MIX RESTAURANTS GROUP LLC,2801 S Stonebridge Dr,Mckinney,75072,Collin,
200204307,2026-09-18,BQ,Retail,Active,Target Store T-7501,"SUPERTARGET LIQUOR OF TEXAS, INC.",353 N US Hwy 183,Liberty Hill,78642,Williamson,
200204523,2026-09-18,Q,Retail,Active,Liberty Fuels #3,Liberty Fuels LLC,7454 Mykawa Rd,Houston,77033,Harris,
200204529,2026-09-18,Q,Retail,Active,Liberty Fuels,Liberty Fuels LLC,1430 Telephone Rd,Houston,77023,Harris,
200206092,2026-09-18,DS,Manufacturing,Active,New Mexico Wineries Inc,NEW MEXICO WINERIES INC.,1325 De Baca Rd SE,Deming,88030,,
200206211,2026-09-18,BQ,Retail,Active,TEXAS BEST #14,ARGYLE PETROLEUM INC,4565 VINTAGE BLVD,Argyle,76226,Denton,
200206398,2026-09-18,BG,Retail,Active,STAYBRIDGE SUITES BY IHG,SAI DOMAIN LLC,10201 Stonelake Blvd,Austin,78759,Travis,
200206555,2026-09-18,BQ,Retail,Active,ZOOM ZOOM GROCERY,M2LA GROUP LLC,1301 E Scott Ave,Wichita Falls,76301,Wichita,
200207001,2026-09-18,BG,Retail,Active,VOLCANO SUSHI AND ASIAN FUSION,"Volcano Asian Fusion, LLC",1401 N LOOP 250 W STE 3,Midland,79706,Midland,
200207203,2026-09-18,Q,Retail,Active,HUNGRY PIG SUPPLY CO,"HP 1125 TX 243, LLC",1125 TX-243,Canton,75103,Van Zandt,
200207567,2026-09-18,BQ,Retail,Active,GLEN FOOD MART,Omnimart Holdings LLC,2022 N Glenbrook Dr,Garland,75040,Dallas,
200207633,2026-09-18,NT,Retail,Active,,Catholic Daughters of the Americas Court 1787,112 Marcia Pl,San Antonio,78209,Bexar,
